tt0079209	\N	The Gift	The Gift	1979	\N
tt0083833	\N	Diner	Diner	1982	\N
tt0083962	\N	Forty Deuce	Forty Deuce	1982	\N
tt0085422	\N	The Demon Murder Case	The Demon Murder Case	1983	\N
tt0085494	\N	Enormous Changes at the Last Minute	Enormous Changes at the Last Minute	1983	\N
tt0087277	\N	Footloose	Footloose	1984	\N
tt0091814	\N	Quicksilver	Quicksilver	1986	\N
tt0092967	\N	End of the Line	End of the Line	1987	\N
tt0093403	\N	Lemon Sky	Lemon Sky	1988	\N
tt0094318	\N	White Water Summer	White Water Summer	1987	\N
tt0096094	\N	She's Having a Baby	She's Having a Baby	1988	\N
tt0096926	\N	The Big Picture	The Big Picture	1989	\N
tt0097125	\N	Criminal Law	Criminal Law	1988	\N
tt0099582	\N	Flatliners	Flatliners	1990	\N
tt0100814	\N	Tremors	Tremors	1990	\N
tt0102011	\N	He Said, She Said	He Said, She Said	1991	\N
tt0102320	\N	A Little Vicious	A Little Vicious	1991	\N
tt0102733	\N	Pyrates	Pyrates	1991	\N
tt0102741	\N	Queens Logic	Queens Logic	1991	\N
tt0104257	\N	A Few Good Men	A Few Good Men	1992	\N
tt0109067	\N	The Air Up There	The Air Up There	1994	\N
tt0110997	\N	The River Wild	The River Wild	1994	\N
tt0112384	\N	Apollo 13	Apollo 13	1995	\N
tt0112453	\N	Balto	Balto	1995	\N
tt0113870	\N	Murder in the First	Murder in the First	1995	\N
tt0117665	\N	Sleepers	Sleepers	1996	\N
tt0118967	\N	Destination Anywhere	Destination Anywhere	1997	\N
tt0118980	\N	Digging to China	Digging to China	1997	\N
tt0119896	\N	Picture Perfect	Picture Perfect	1997	\N
tt0120303	\N	Telling Lies in America	Telling Lies in America	1997	\N
tt0120890	\N	Wild Things	Wild Things	1998	\N
tt0123191	\N	New York Skyride	New York Skyride	1994	\N
tt0156812	\N	My Dog Skip	My Dog Skip	2000	\N
tt0164052	\N	Hollow Man	Hollow Man	2000	\N
tt0164181	\N	Stir of Echoes	Stir of Echoes	1999	\N
tt0207607	\N	Mister Roberts	Mister Roberts	1984	\N
tt0280380	\N	Trapped	Trapped	2002	\N
tt0327056	\N	Mystic River	Mystic River	2003	\N
tt0361127	\N	The Woodsman	The Woodsman	2004	\N
tt0373450	\N	Where the Truth Lies	Where the Truth Lies	2005	\N
tt0384685	\N	Where Are They Now?: A Delta Alumni Update	Where Are They Now?: A Delta Alumni Update	2003	\N
tt0388213	\N	Loverboy	Loverboy	2005	\N
tt0478259	\N	Saving Angelo	Saving Angelo	2007	\N
tt0485851	\N	The Air I Breathe	The Air I Breathe	2007	\N
tt0790736	\N	R.I.P.D.	R.I.P.D.	2013	\N
tt0792060	\N	Episode #1.8319	Episode #1.8319	1980	\N
tt0804461	\N	Death Sentence	Death Sentence	2007	\N
tt0822849	\N	Rails & Ties	Rails & Ties	2007	\N
tt0846452	\N	Episode dated 27 January 1981	Episode dated 27 January 1981	1981	\N
tt0870111	\N	Frost/Nixon	Frost/Nixon	2008	\N
tt0872994	\N	Episode #1.8320	Episode #1.8320	1980	\N
tt0874017	\N	Episode dated 24 December 1981	Episode dated 24 December 1981	1981	\N
tt1016735	\N	Episode dated 31 July 1981	Episode dated 31 July 1981	1981	\N
tt1019454	\N	Taking Chance	Taking Chance	2009	\N
tt1185431	\N	My One and Only	My One and Only	2009	\N
tt1213209	\N	America's Game: The Superbowl Champions	America's Game: The Superbowl Champions	2006	2011
tt1224194	\N	Episode dated 1 October 1981	Episode dated 1 October 1981	1981	\N
tt1270798	\N	X-Men: First Class	X: First Class	2011	\N
tt1446548	\N	High Line Stories	High Line Stories	2009	\N
tt1448751	\N	Beyond All Boundaries	Beyond All Boundaries	2009	\N
tt1512235	\N	Super	Super	2010	\N
tt1578882	\N	Elephant White	Elephant White	2011	\N
tt1685329	\N	These Vagabond Shoes	These Vagabond Shoes	2009	\N
tt1699509	\N	Story of a Girl	Story of a Girl	2017	\N
tt1781840	\N	Jayne Mansfield's Car	Jayne Mansfield's Car	2012	\N
tt1878841	\N	The Darkness	The Darkness	2016	\N
tt1949374	\N	Beastmaster and Commander	Beastmaster and Commander	2011	\N
tt2071645	\N	The Following	The Following	2013	2015
tt2161128	\N	The Fall	The Fall	2013	\N
tt2169102	\N	Pilot	Pilot	2013	\N
tt2290075	\N	8	8	2012	\N
tt2333756	\N	Chapter Two	Chapter Two	2013	\N
tt2386714	\N	The Poet's Fire	The Poet's Fire	2013	\N
tt2386716	\N	Mad Love	Mad Love	2013	\N
tt2457176	\N	The Siege	The Siege	2013	\N
tt2479358	\N	Love Hurts	Love Hurts	2013	\N
tt2481792	\N	Let Me Go	Let Me Go	2013	\N
tt2522196	\N	Welcome Home	Welcome Home	2013	\N
tt2535252	\N	Surprise Witness	Surprise Witness	1981	\N
tt2579104	\N	Guilt	Guilt	2013	\N
tt2649034	\N	Whips & Regret	Whips & Regret	2013	\N
tt2649068	\N	The Curse	The Curse	2013	\N
tt2650254	\N	The Making of Apollo 13	The Making of Apollo 13	1995	\N
tt2675842	\N	Havenport	Havenport	2013	\N
tt2675848	\N	The Final Chapter	The Final Chapter	2013	\N
tt2675850	\N	The End Is Near	The End Is Near	2013	\N
tt2751234	\N	Resurrection	Resurrection	2014	\N
tt3161410	\N	1996 Green Bay Packers	1996 Green Bay Packers	2006	\N
tt3196602	\N	For Joe	For Joe	2014	\N
tt3241172	\N	Trust Me	Trust Me	2014	\N
tt3241174	\N	Family Affair	Family Affair	2014	\N
tt3253608	\N	Reflection	Reflection	2014	\N
tt3325864	\N	Sacrifice	Sacrifice	2014	\N
tt3401836	\N	The Messenger	The Messenger	2014	\N
tt3464706	\N	Fly Away	Fly Away	2014	\N
tt3501804	\N	Freedom	Freedom	2014	\N
tt3520038	\N	Unmasked	Unmasked	2014	\N
tt3531520	\N	The Reaping	The Reaping	2014	\N
tt3551746	\N	Teacher's Pet	Teacher's Pet	2014	\N
tt4173488	\N	Boxed In	Boxed In	2015	\N
tt4630394	\N	Dead or Alive	Dead or Alive	2015	\N
tt6661082	\N	This Is Not a Love Letter	This Is Not a Love Letter	2017	\N
tt0033667	\N	Go West, Young Lady	Go West, Young Lady	1941	\N
tt0039409	\N	Gallant Journey	Gallant Journey	1946	\N
